         12593437 function calls (12288846 primitive calls) in 6.496 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _exceptions.py:81(_UFuncInputCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:99(_UFuncOutputCastingError)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:30(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:44(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:57(_NoValueType)
        1    0.000    0.000    0.000    0.000 _globals.py:65(__new__)
        9    0.000    0.000    0.000    0.000 _globals.py:75(__repr__)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       15    0.000    0.000    0.000    0.000 _inspect.py:142(<lambda>)
       16    0.000    0.000    0.000    0.000 _inspect.py:143(<lambda>)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      616    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.005    0.005 _internal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:204(dummy_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:216(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:239(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:243(c_void_p)
        1    0.000    0.000    0.000    0.000 _internal.py:248(_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:524(_Stream)
      141    0.000    0.000    0.000    0.000 _internal.py:781(_ufunc_doc_signature_formatter)
      201    0.000    0.000    0.000    0.000 _internal.py:792(<genexpr>)
        9    0.000    0.000    0.000    0.000 _internal.py:801(<genexpr>)
       13    0.000    0.000    0.000    0.000 _internal.py:827(npy_ctypes_check)
        1    0.000    0.000    0.000    0.000 _internal.py:845(recursive)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:133(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:229(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:421(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:429(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:437(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
        1    0.000    0.000    0.000    0.000 _methods.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _pickle.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:17(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:45(PytestTester)
        9    0.000    0.000    0.000    0.000 _pytesttester.py:75(__init__)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:44(english_upper)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:72(english_capitalize)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _type_aliases.py:112(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:114(_add_aliases)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:153(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:186(_set_up_aliases)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:231(_add_array_type)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:239(_set_array_types)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:35(TypeNADict)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:62(<setcomp>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:65(_bits_of)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:67(<genexpr>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:78(bitname)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_types)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:29(<dictcomp>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:362(_unspecified)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:369(errstate)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__init__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:433(__enter__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:438(__exit__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:444(_setdef)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:14(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
    27/13    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       95    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       29    0.000    0.000    0.001    0.000 abc.py:84(__new__)
       12    0.000    0.000    0.000    0.000 abc.py:89(register)
        1    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1123(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1136(BoolFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1146(ComplexFloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1179(_TimelikeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1205(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1237(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1242(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1252(StructuredVoidFormat)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1473(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 arrayprint.py:1546(set_string_function)
        2    0.000    0.000    0.000    0.000 arrayprint.py:448(_recursive_guard)
        2    0.000    0.000    0.000    0.000 arrayprint.py:458(decorating_function)
       15    0.000    0.000    0.000    0.000 arrayprint.py:461(wrapper)
        1    0.000    0.000    0.000    0.000 arrayprint.py:834(FloatingFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:347(NodeVisitor)
        1    0.000    0.000    0.000    0.000 ast.py:405(NodeTransformer)
        1    0.000    0.000    0.000    0.000 ast.py:476(_ABC)
        1    0.000    0.000    0.000    0.000 ast.py:505(Num)
        1    0.000    0.000    0.000    0.000 ast.py:509(Str)
        1    0.000    0.000    0.000    0.000 ast.py:513(Bytes)
        1    0.000    0.000    0.000    0.000 ast.py:517(NameConstant)
        1    0.000    0.000    0.000    0.000 ast.py:520(Ellipsis)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.002    0.002 builtins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 builtins.py:100(list)
        1    0.000    0.000    0.000    0.000 builtins.py:104(DictMeta)
        1    0.000    0.000    0.000    0.000 builtins.py:107(dict)
        1    0.000    0.000    0.000    0.000 builtins.py:121(ContainerVSpace)
        6    0.000    0.000    0.000    0.000 builtins.py:122(__init__)
        2    0.000    0.000    0.000    0.000 builtins.py:128(<lambda>)
        1    0.000    0.000    0.000    0.000 builtins.py:128(zeros)
        1    0.000    0.000    0.000    0.000 builtins.py:147(SequenceVSpace)
        6    0.000    0.000    0.000    0.000 builtins.py:15(container_take)
        7    0.000    0.000    0.000    0.000 builtins.py:150(_map)
        6    0.000    0.000    0.000    0.000 builtins.py:152(_subval)
        1    0.000    0.000    0.000    0.000 builtins.py:155(ListVSpace)
        1    0.000    0.000    0.000    0.000 builtins.py:156(TupleVSpace)
        1    0.000    0.000    0.000    0.000 builtins.py:157(DictVSpace)
        6    0.000    0.000    0.000    0.000 builtins.py:18(grad_container_take)
        6    0.000    0.000    0.000    0.000 builtins.py:19(<lambda>)
        1    0.000    0.000    0.000    0.000 builtins.py:23(SequenceBox)
        1    0.000    0.000    0.000    0.000 builtins.py:34(DictBox)
        6    0.000    0.000    0.000    0.000 builtins.py:49(container_untake)
        6    0.000    0.000    0.000    0.000 builtins.py:55(<lambda>)
        6    0.000    0.000    0.000    0.000 builtins.py:56(mut_add)
        1    0.000    0.000    0.000    0.000 builtins.py:90(TupleMeta)
        1    0.000    0.000    0.000    0.000 builtins.py:93(tuple)
        1    0.000    0.000    0.000    0.000 builtins.py:97(ListMeta)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:30(BZ2File)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1982(Chebyshev)
        2    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:276(reset)
        2    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        4    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        2    0.000    0.000    0.000    0.000 codecs.py:327(reset)
        1    0.000    0.000    0.000    0.000 contextlib.py:108(__enter__)
        1    0.000    0.000    0.000    0.000 contextlib.py:117(__exit__)
        2    0.000    0.000    0.000    0.000 contextlib.py:211(contextmanager)
        1    0.000    0.000    0.000    0.000 contextlib.py:238(helper)
        1    0.000    0.000    0.000    0.000 contextlib.py:59(_recreate_cm)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(__call__)
        1    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
        1    0.000    0.000    0.000    0.000 contextlib.py:82(__init__)
        1    0.000    0.000    0.000    0.000 copy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:55(Error)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        2    0.000    0.000    0.002    0.001 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:105(JVPNode)
        1    0.000    0.000    0.000    0.000 core.py:1126(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1147(__init__)
        4    0.000    0.000    0.000    0.000 core.py:115(doc_note)
      127    0.000    0.000    0.000    0.000 core.py:121(defjvp_argnums)
       15    0.000    0.000    0.000    0.000 core.py:124(defjvp_argnum)
        1    0.000    0.000    0.000    0.000 core.py:1284(_replace_dtype_fields_recursive)
      112    0.000    0.000    0.000    0.000 core.py:130(defjvp)
        1    0.000    0.000    0.000    0.000 core.py:1316(_replace_dtype_fields)
      112    0.000    0.000    0.000    0.000 core.py:132(<dictcomp>)
        1    0.000    0.000    0.000    0.000 core.py:1330(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1363(getmask)
       44    0.000    0.000    0.000    0.000 core.py:138(get_object_signature)
        1    0.000    0.000    1.629    1.629 core.py:14(vjp)
      143    0.000    0.000    0.000    0.000 core.py:140(translate_jvp)
       12    0.000    0.000    0.000    0.000 core.py:151(def_linear)
        1    0.000    0.000    0.000    0.000 core.py:155(MAError)
   261449    0.062    0.000    0.364    0.000 core.py:158(add_outgrads)
        1    0.000    0.000    0.000    0.000 core.py:163(MaskError)
        1    0.255    0.255    1.629    1.629 core.py:17(backward_pass)
    74340    0.019    0.000    0.199    0.000 core.py:183(sparse_add)
        1    0.000    0.000    0.000    0.000 core.py:188(VSpace)
        1    0.000    0.000    0.000    0.000 core.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:198(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:201(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:202(<listcomp>)
        6    0.000    0.000    0.000    0.000 core.py:213(_mut_add)
       12    0.000    0.000    0.000    0.000 core.py:224(register)
148694/148682    0.037    0.000    0.177    0.000 core.py:231(vspace)
        1    0.000    0.000    0.000    0.000 core.py:2383(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2389(__init__)
        1    0.000    0.000    0.000    0.000 core.py:242(SparseBox)
        1    0.000    0.000    0.000    0.000 core.py:244(SparseObject)
    74340    0.009    0.000    0.009    0.000 core.py:246(__init__)
    74340    0.006    0.000    0.006    0.000 core.py:249(<lambda>)
        7    0.000    0.000    0.000    0.000 core.py:2555(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:26(VJPNode)
        1    0.000    0.000    0.000    0.000 core.py:2600(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2708(MaskedArray)
   187256    1.133    0.000    3.315    0.000 core.py:28(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2819(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2949(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2975(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:3124(view)
        4    0.000    0.000    0.000    0.000 core.py:3406(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3422(shape)
        1    0.000    0.000    0.000    0.000 core.py:38(initialize_root)
        1    0.000    0.000    0.000    0.000 core.py:40(<lambda>)
      157    0.000    0.000    0.000    0.000 core.py:43(defvjp_argnums)
        6    0.000    0.000    0.000    0.000 core.py:46(defvjp_argnum)
     1683    0.001    0.000    0.191    0.000 core.py:47(vjp_argnums)
     1683    0.013    0.000    0.190    0.000 core.py:48(<listcomp>)
    40393    0.010    0.000    0.015    0.000 core.py:49(<genexpr>)
     1683    0.001    0.000    0.001    0.000 core.py:49(<lambda>)
      151    0.000    0.000    0.000    0.000 core.py:52(defvjp)
      151    0.000    0.000    0.000    0.000 core.py:54(<dictcomp>)
   185573    0.748    0.000    1.992    0.000 core.py:56(vjp_argnums)
        1    0.000    0.000    0.000    0.000 core.py:6234(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6429(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6433(__has_singleton)
        1    0.000    0.000    0.000    0.000 core.py:6439(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6457(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:6532(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6624(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6633(__init__)
   148407    0.056    0.000    0.385    0.000 core.py:67(<lambda>)
        1    0.000    0.000    0.000    0.000 core.py:6739(_frommethod)
       26    0.000    0.000    0.000    0.000 core.py:6750(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
    37166    0.027    0.000    0.375    0.000 core.py:78(<lambda>)
        1    0.000    0.000    0.000    0.000 core.py:798(_DomainCheckInterval)
        1    0.000    0.000    4.592    4.592 core.py:8(make_vjp)
        3    0.000    0.000    0.000    0.000 core.py:807(__init__)
        1    0.000    0.000    0.000    0.000 core.py:8081(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:8094(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8099(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:823(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:831(__init__)
        1    0.000    0.000    0.000    0.000 core.py:84(MaskedArrayFutureWarning)
        1    0.000    0.000    0.000    0.000 core.py:841(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:847(__init__)
      193    0.000    0.000    0.000    0.000 core.py:85(translate_vjp)
        1    0.000    0.000    0.000    0.000 core.py:862(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:868(__init__)
        1    0.000    0.000    0.000    0.000 core.py:878(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:884(__init__)
        1    0.000    0.000    0.000    0.000 core.py:894(_MaskedUFunc)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
        1    0.000    0.000    0.000    0.000 core.py:904(_MaskedUnaryOperation)
       26    0.000    0.000    0.000    0.000 core.py:922(__init__)
        1    0.000    0.000    0.000    0.000 core.py:978(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:998(__init__)
        1    0.000    0.000    6.553    6.553 crf.py:1(<module>)
    74060    0.017    0.000    0.254    0.000 crf.py:102(g)
    74060    0.059    0.000    3.376    0.000 crf.py:109(Mi)
        6    0.005    0.001    4.771    0.795 crf.py:114(p)
        6    0.000    0.000    3.389    0.565 crf.py:117(<listcomp>)
        6    0.000    0.000    0.002    0.000 crf.py:118(<listcomp>)
        2    0.000    0.000    4.771    2.385 crf.py:122(obj_fun)
        2    0.000    0.000    4.771    2.385 crf.py:123(<listcomp>)
        1    0.000    0.000    0.000    0.000 crf.py:75(<dictcomp>)
        1    0.000    0.000    0.000    0.000 crf.py:76(<dictcomp>)
        1    0.000    0.000    0.000    0.000 crf.py:77(<dictcomp>)
        1    0.000    0.000    0.000    0.000 crf.py:78(<dictcomp>)
    74060    0.020    0.000    0.860    0.000 crf.py:95(f)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:177(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:198(_concrete_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:357(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:368(<dictcomp>)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1141(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1211(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1236(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1559(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1567(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2181(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2201(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
        3    0.000    0.000    0.000    0.000 datetime.py:41(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:411(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:424(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:441(_check_tzinfo_arg)
        5    0.000    0.000    0.000    0.000 datetime.py:46(_days_in_month)
        1    0.000    0.000    0.000    0.000 datetime.py:469(timedelta)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        2    0.000    0.000    0.000    0.000 datetime.py:661(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:789(date)
        2    0.000    0.000    0.000    0.000 datetime.py:819(__new__)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.002    0.002 defchararray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1805(chararray)
        1    0.000    0.000    0.003    0.003 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.076    0.076 differential_operators.py:1(<module>)
        1    0.000    0.000    6.221    6.221 differential_operators.py:18(grad)
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:209(Instruction)
        1    0.000    0.000    0.000    0.000 dis.py:479(Bytecode)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
        1    0.000    0.000    0.000    0.000 enum.py:157(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
        1    0.000    0.000    0.000    0.000 enum.py:200(<setcomp>)
       11    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
        3    0.000    0.000    0.000    0.000 enum.py:223(<genexpr>)
       62    0.000    0.000    0.000    0.000 enum.py:313(__call__)
       11    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    0.000    0.000 enum.py:370(__getattr__)
       10    0.000    0.000    0.000    0.000 enum.py:417(__setattr__)
        1    0.000    0.000    0.000    0.000 enum.py:522(_check_for_existing_members)
        2    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
        2    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
        1    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
       62    0.000    0.000    0.000    0.000 enum.py:631(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:68(__init__)
       11    0.000    0.000    0.000    0.000 enum.py:75(__setitem__)
        9    0.000    0.000    0.000    0.000 enum.py:753(value)
       31    0.000    0.000    0.000    0.000 enum.py:938(__and__)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(ParseException)
        1    0.000    0.000    0.000    0.000 extend.py:2(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1472(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1502(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1520(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:215(_fromnxfunction)
       10    0.000    0.000    0.000    0.000 extras.py:235(__init__)
       10    0.000    0.000    0.000    0.000 extras.py:239(getdoc)
        1    0.000    0.000    0.000    0.000 extras.py:270(_fromnxfunction_single)
        1    0.000    0.000    0.000    0.000 extras.py:288(_fromnxfunction_seq)
        1    0.000    0.000    0.000    0.000 extras.py:301(_fromnxfunction_args)
        1    0.000    0.000    0.000    0.000 extras.py:326(_fromnxfunction_allargs)
        1    0.000    0.000    0.000    0.000 fft.py:1(<module>)
        1    0.000    0.000    0.001    0.001 financial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
    74336    0.006    0.000    0.006    0.000 fromnumeric.py:1911(_shape_dispatcher)
    74336    0.010    0.000    0.010    0.000 fromnumeric.py:1915(shape)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2876(_prod_dispatcher)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2881(prod)
   185970    0.014    0.000    0.014    0.000 fromnumeric.py:3071(_ndim_dispatcher)
   185970    0.021    0.000    0.021    0.000 fromnumeric.py:3075(ndim)
      134    0.000    0.000    0.000    0.000 fromnumeric.py:52(_wrapfunc)
      134    0.000    0.000    0.000    0.000 fromnumeric.py:546(_swapaxes_dispatcher)
      134    0.000    0.000    0.000    0.000 fromnumeric.py:550(swapaxes)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:70(_wrapreduction)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:71(<dictcomp>)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:1895(vectorize)
      274    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
      274    0.000    0.000    0.000    0.000 function_base.py:437(_add_docstring)
      274    0.000    0.000    0.002    0.000 function_base.py:451(add_newdoc)
      335    0.001    0.000    0.001    0.000 functools.py:34(update_wrapper)
        6    0.000    0.000    0.000    0.000 functools.py:487(lru_cache)
